2026-02-14 00:50:50,551 | INFO | uvicorn.access | 127.0.0.1:55018 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&roles=manager&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:50:52,903 | INFO | uvicorn.access | 127.0.0.1:59956 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:50:53,082 | INFO | uvicorn.access | 127.0.0.1:59956 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:52:57,734 | INFO | uvicorn.access | 127.0.0.1:57766 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:52:57,973 | INFO | uvicorn.access | 127.0.0.1:53292 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:52:58,375 | INFO | uvicorn.access | 127.0.0.1:61517 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:52:58,377 | INFO | uvicorn.access | 127.0.0.1:54763 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:52:58,379 | INFO | uvicorn.access | 127.0.0.1:58240 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:53:03,528 | INFO | uvicorn.access | 127.0.0.1:53292 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:53:03,572 | INFO | uvicorn.access | 127.0.0.1:59543 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:53:03,592 | INFO | uvicorn.access | 127.0.0.1:59543 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:53:03,636 | INFO | uvicorn.access | 127.0.0.1:59543 - "GET /static/uploads/user/82090846-34e2-40b9-8ead-c3f3a1473064/staff_e6191c28c03a4651827706449b8c2301.png HTTP/1.1" 200
2026-02-14 00:53:05,761 | INFO | uvicorn.access | 127.0.0.1:53292 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=admin&roles=manager&sortBy=%7B%7D HTTP/1.1" 200
2026-02-14 00:53:05,839 | INFO | uvicorn.access | 127.0.0.1:59543 - "GET /static/uploads/user/1faeba48-2596-4d6f-bbf9-ed28d6cc548a/staff_8b39cf3f2d914a9eabc998b449024ac8.png HTTP/1.1" 200
2026-02-14 00:53:05,871 | INFO | uvicorn.access | 127.0.0.1:62715 - "GET /static/uploads/user/21270d97-8b35-460c-bc7a-31f6bf28d4a7/staff_f1ca2234c7944736aa567a31f7f4aed3.png HTTP/1.1" 200
2026-02-14 00:53:12,430 | INFO | uvicorn.access | 127.0.0.1:50278 - "GET /user/get-user-list-in-domain?page=1&page_size=10&q&itemStatus&startDate&endDate&pageSize=10&roles=owner&roles=manager&sortBy=%7B%7D HTTP/1.1" 200
